period,category,segment,metric,value,unit,direction,source
2020-01,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-02,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-03,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-04,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-05,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-06,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-07,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-08,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-09,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-10,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-11,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2020-12,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-01,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-02,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-03,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-04,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-05,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-06,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-07,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-08,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-09,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-10,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-11,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2021-12,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-01,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-02,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-03,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-04,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-05,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-06,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-07,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-08,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-09,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-10,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-11,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2022-12,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-01,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-02,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-03,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-04,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-05,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-06,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-07,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-08,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-09,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-10,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-11,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2023-12,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-01,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-02,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-03,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-04,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-05,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-06,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-07,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-08,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-09,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-10,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
2024-11,Growth,Global,MRR (USD),7500000.0,USD,up,Bessemer State of Cloud 2024; OpenView SaaS Benchmarks 2024; High Alpha Benchmarks 2024
